record_id,N,S,V,F,Q,total
100,2237,33,1,0,0,2271
101,1859,3,0,0,2,1864
103,2081,2,0,0,0,2083
105,2526,0,41,0,5,2572
106,1507,0,520,0,0,2027
108,1739,4,17,2,0,1762
109,2491,0,38,2,0,2531
111,2123,0,1,0,0,2124
112,2536,2,0,0,0,2538
113,1788,6,0,0,0,1794
114,1820,12,43,4,0,1879
115,1952,0,0,0,0,1952
116,2301,1,109,0,0,2411
117,1533,1,0,0,0,1534
118,2165,96,16,0,0,2277
119,1543,0,444,0,0,1987
121,1860,1,1,0,0,1862
122,2475,0,0,0,0,2475
123,1514,0,3,0,0,1517
124,1535,31,47,5,0,1618
200,1742,30,826,2,0,2600
201,1635,128,198,2,0,1963
202,2060,55,19,1,0,2135
203,2529,2,444,1,4,2980
205,2570,3,71,11,0,2655
207,1542,107,210,0,0,1859
208,1585,2,992,372,2,2953
209,2620,383,1,0,0,3004
210,2421,22,195,10,0,2648
212,2747,0,0,0,0,2747
213,2640,28,220,362,0,3250
214,2001,0,256,1,2,2260
215,3194,3,164,1,0,3362
219,2082,7,64,1,0,2154
220,1952,94,0,0,0,2046
221,2031,0,396,0,0,2427
222,2272,209,0,0,0,2481
223,2044,73,473,14,0,2604
228,1688,3,362,0,0,2053
230,2254,0,1,0,0,2255
231,1567,1,2,0,0,1570
232,398,1382,0,0,0,1780
233,2229,7,830,11,0,3077
234,2700,50,3,0,0,2753
