record_id,N,S,V,F,Q,total
100,2236,33,1,0,0,2270
101,1858,3,0,0,2,1863
103,2080,2,0,0,0,2082
105,2524,0,41,0,5,2570
106,1506,0,520,0,0,2026
108,1738,4,17,2,0,1761
109,2490,0,38,2,0,2530
111,2121,0,1,0,0,2122
112,2535,2,0,0,0,2537
113,1787,6,0,0,0,1793
114,1819,12,43,4,0,1878
115,1951,0,0,0,0,1951
116,2300,1,109,0,0,2410
117,1532,1,0,0,0,1533
118,2164,96,16,0,0,2276
119,1542,0,444,0,0,1986
121,1859,1,1,0,0,1861
122,2474,0,0,0,0,2474
123,1514,0,3,0,0,1517
124,1534,31,47,5,0,1617
200,1742,30,825,2,0,2599
201,1633,128,198,2,0,1961
202,2060,55,19,1,0,2135
203,2527,2,444,1,4,2978
205,2569,3,71,11,0,2654
207,1542,106,210,0,0,1858
208,1585,2,991,372,2,2952
209,2619,383,1,0,0,3003
210,2419,22,195,10,0,2646
212,2746,0,0,0,0,2746
213,2637,28,220,362,0,3247
214,2001,0,256,1,2,2260
215,3193,3,164,1,0,3361
219,2081,7,64,1,0,2153
220,1952,94,0,0,0,2046
221,2029,0,396,0,0,2425
222,2272,209,0,0,0,2481
223,2043,73,473,14,0,2603
228,1686,3,362,0,0,2051
230,2253,0,1,0,0,2254
231,1566,1,2,0,0,1569
232,398,1382,0,0,0,1780
233,2228,7,830,11,0,3076
234,2698,50,3,0,0,2751
