record_id,n,accuracy,f1_N,f1_S,f1_V,f1_F,n_N,n_S,n_V,n_F
232,1780,0.22247191011235956,0.42919389978213507,0.002890173410404624,0.0,,398,1382,0,0
219,2153,0.8072457036692986,0.8900106269925611,0.004889975550122249,0.9393939393939394,0.0,2081,7,64,1
210,2646,0.8484504913076342,0.9130338570480194,0.02617801047120419,0.9291338582677166,0.0,2419,22,195,10
213,3247,0.8681860178626425,0.9286846275752774,0.0,0.8564705882352941,0.0,2637,28,220,362
222,2481,0.9060862555421201,0.9506013745704467,0.2788844621513944,0.0,,2272,209,0,0
202,2135,0.9152224824355972,0.9549685534591195,0.3178294573643411,0.8333333333333334,0.0,2060,55,19,1
200,2599,0.9634474797999231,0.9761836441893831,0.21978021978021978,0.9790123456790123,0.0,1742,30,825,2
214,2258,0.9769707705934455,0.9967443025294265,0.0,0.8925619834710744,0.0,2001,0,256,1
228,2051,0.9790346172598733,0.9879659524508365,0.0,0.9420289855072463,,1686,3,362,0
105,2565,0.9820662768031189,0.990814696485623,0.0,0.6495726495726496,,2524,0,41,0
111,2122,0.9839773798303487,0.9919201520912547,0.0,0.058823529411764705,,2121,0,1,0
234,2751,0.9840058160668848,0.9919117647058824,0.21428571428571427,1.0,,2698,50,3,0
233,3076,0.9918725617685306,0.9968623935454953,0.0,0.9898264512268103,0.0,2228,7,830,11
221,2425,0.9929896907216494,0.995795201582983,0.0,0.9987357774968394,,2029,0,396,0
100,2270,0.9986784140969163,0.9993296089385475,0.9523809523809523,1.0,,2236,33,1,0
113,1793,0.9988845510317903,0.9994400895856663,0.8571428571428571,,,1787,6,0,0
121,1861,0.99892530897367,0.9994620763851533,0.0,0.6666666666666666,,1859,1,1,0
103,2082,0.9990393852065321,0.9995194617972128,0.0,,,2080,2,0,0
123,1517,0.999340804218853,0.9996696399074991,0.0,1.0,,1514,0,3,0
117,1533,0.9993476842791911,1.0,0.0,0.0,,1532,1,0,0
231,1569,0.9993626513702996,0.999680817108203,0.0,1.0,,1566,1,2,0
212,2746,0.9996358339402768,0.9998178838098707,,0.0,,2746,0,0,0
