record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.742526,0.051540,0.147662,0.058271
101,1,-1,0,0.701131,0.045234,0.199040,0.054595
105,2,-1,2,0.105508,0.023831,0.836338,0.034323
105,3,-1,2,0.020592,0.022459,0.932494,0.024455
105,4,-1,2,0.011070,0.010482,0.965573,0.012875
105,5,-1,2,0.355888,0.066187,0.539157,0.038768
105,6,-1,2,0.066668,0.033642,0.860230,0.039460
203,7,-1,0,0.795382,0.042986,0.119148,0.042484
203,8,-1,0,0.867758,0.035372,0.070985,0.025885
203,9,-1,0,0.889729,0.027073,0.061028,0.022170
203,10,-1,0,0.894583,0.025850,0.056696,0.022871
208,11,-1,2,0.296495,0.215011,0.435481,0.053014
208,12,-1,0,0.530364,0.300230,0.130272,0.039133
214,13,-1,0,0.927330,0.034397,0.016043,0.022229
214,14,-1,2,0.051972,0.016047,0.901551,0.030430
