record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.380539,0.254987,0.303812,0.060662
101,1,-1,2,0.164591,0.100882,0.673844,0.060683
105,2,-1,2,0.038163,0.027476,0.899373,0.034989
105,3,-1,2,0.033386,0.027862,0.910229,0.028523
105,4,-1,0,0.658147,0.048123,0.241150,0.052580
105,5,-1,2,0.268491,0.028967,0.661912,0.040630
105,6,-1,2,0.035478,0.022235,0.913621,0.028667
203,7,-1,2,0.298152,0.064283,0.585857,0.051709
203,8,-1,0,0.853861,0.051402,0.065852,0.028884
203,9,-1,0,0.817428,0.047916,0.098645,0.036010
203,10,-1,0,0.517449,0.062503,0.341537,0.078511
208,11,-1,2,0.132899,0.033880,0.784336,0.048886
208,12,-1,0,0.838630,0.059488,0.067000,0.034882
214,13,-1,2,0.070013,0.058251,0.798244,0.073491
214,14,-1,2,0.019330,0.020897,0.933183,0.026590
