record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.118871,0.049044,0.817954,0.014130
101,1,-1,2,0.261345,0.030081,0.693798,0.014777
105,2,-1,2,0.026636,0.020583,0.942001,0.010780
105,3,-1,2,0.019272,0.017301,0.949641,0.013787
105,4,-1,2,0.031604,0.020688,0.933915,0.013793
105,5,-1,2,0.108179,0.023888,0.850547,0.017385
105,6,-1,2,0.025917,0.026295,0.930975,0.016812
203,7,-1,2,0.089359,0.039403,0.851757,0.019482
203,8,-1,0,0.887493,0.029323,0.047993,0.035190
203,9,-1,2,0.308122,0.023699,0.625631,0.042548
203,10,-1,2,0.339384,0.013544,0.599417,0.047655
208,11,-1,2,0.377537,0.167070,0.436296,0.019097
208,12,-1,0,0.937336,0.016560,0.031691,0.014413
214,13,-1,0,0.676819,0.224578,0.068118,0.030485
214,14,-1,2,0.017050,0.017973,0.954580,0.010397
