record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.200172,0.078363,0.659632,0.061833
101,1,-1,2,0.135097,0.071738,0.737537,0.055629
105,2,-1,2,0.081801,0.051395,0.820566,0.046238
105,3,-1,2,0.032909,0.050582,0.866346,0.050163
105,4,-1,0,0.481571,0.080317,0.382587,0.055525
105,5,-1,2,0.053237,0.023852,0.897119,0.025792
105,6,-1,2,0.018294,0.019555,0.942921,0.019230
203,7,-1,2,0.058203,0.035769,0.875912,0.030116
203,8,-1,0,0.791833,0.036807,0.139276,0.032085
203,9,-1,0,0.768429,0.029480,0.168832,0.033259
203,10,-1,0,0.654359,0.032611,0.269709,0.043321
208,11,-1,2,0.241326,0.045870,0.651871,0.060933
208,12,-1,0,0.894887,0.040574,0.036439,0.028100
214,13,-1,2,0.120471,0.065433,0.765587,0.048509
214,14,-1,2,0.016797,0.014073,0.953043,0.016087
