record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.523577,0.239965,0.236273,0.000185
101,1,-1,0,0.590047,0.222538,0.187063,0.000352
105,2,-1,2,0.033853,0.029021,0.937069,0.000058
105,3,-1,2,0.044622,0.079799,0.874934,0.000645
105,4,-1,2,0.042745,0.046991,0.909655,0.000609
105,5,-1,0,0.794436,0.077025,0.126350,0.002190
105,6,-1,2,0.015314,0.030659,0.953778,0.000249
203,7,-1,0,0.915869,0.061318,0.022450,0.000362
203,8,-1,0,0.895429,0.036200,0.065650,0.002721
203,9,-1,0,0.917545,0.028848,0.052192,0.001416
203,10,-1,0,0.917305,0.029236,0.052237,0.001221
208,11,-1,0,0.833686,0.089563,0.074978,0.001773
208,12,-1,0,0.835493,0.088140,0.073969,0.002399
214,13,-1,0,0.896042,0.054404,0.047352,0.002202
214,14,-1,2,0.050509,0.055919,0.892410,0.001163
