record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.923038,0.026793,0.029436,0.020732
101,1,-1,0,0.942001,0.017968,0.022458,0.017572
105,2,-1,2,0.008963,0.009806,0.972693,0.008538
105,3,-1,2,0.395578,0.062107,0.514019,0.028295
105,4,-1,2,0.016353,0.013002,0.953912,0.016733
105,5,-1,0,0.968203,0.010237,0.011082,0.010478
105,6,-1,2,0.150183,0.040400,0.783241,0.026175
203,7,-1,2,0.291968,0.041129,0.621752,0.045151
203,8,-1,0,0.913122,0.037104,0.031015,0.018760
203,9,-1,0,0.600894,0.312349,0.057015,0.029741
203,10,-1,0,0.931726,0.029161,0.022490,0.016623
208,11,-1,2,0.010569,0.014316,0.960384,0.014731
208,12,-1,0,0.952619,0.020895,0.012167,0.014319
214,13,-1,0,0.965844,0.012017,0.009765,0.012375
214,14,-1,2,0.124485,0.035894,0.812141,0.027481
