record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.140144,0.035624,0.600213,0.224019
101,1,-1,0,0.401623,0.039693,0.354187,0.204496
105,2,-1,2,0.009496,0.008336,0.972342,0.009826
105,3,-1,0,0.931167,0.017467,0.035691,0.015675
105,4,-1,2,0.023938,0.017058,0.944347,0.014657
105,5,-1,0,0.930920,0.021925,0.028269,0.018886
105,6,-1,0,0.648946,0.027046,0.294601,0.029407
203,7,-1,0,0.874833,0.023021,0.065712,0.036434
203,8,-1,0,0.952536,0.019549,0.014917,0.012998
203,9,-1,0,0.934430,0.021135,0.026462,0.017973
203,10,-1,0,0.937027,0.020056,0.024906,0.018012
208,11,-1,2,0.007485,0.015967,0.946688,0.029860
208,12,-1,0,0.919183,0.027144,0.032124,0.021549
214,13,-1,0,0.956941,0.014604,0.013849,0.014606
214,14,-1,2,0.011618,0.011436,0.966843,0.010103
