record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.603124,0.059539,0.265640,0.071697
101,1,-1,0,0.836809,0.046278,0.077411,0.039502
105,2,-1,0,0.944338,0.015096,0.025176,0.015391
105,3,-1,0,0.891754,0.025075,0.059666,0.023505
105,4,-1,2,0.035699,0.024045,0.911596,0.028659
105,5,-1,0,0.962701,0.011880,0.013771,0.011648
105,6,-1,0,0.663087,0.038498,0.260466,0.037949
203,7,-1,0,0.918144,0.024339,0.035581,0.021936
203,8,-1,0,0.920509,0.031282,0.027037,0.021173
203,9,-1,0,0.743541,0.060456,0.157232,0.038770
203,10,-1,0,0.648899,0.052913,0.247798,0.050389
208,11,-1,2,0.006794,0.012487,0.968477,0.012242
208,12,-1,0,0.962539,0.013289,0.011198,0.012974
214,13,-1,0,0.963525,0.012222,0.012164,0.012088
214,14,-1,2,0.141674,0.024512,0.798835,0.034978
