record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.231049,0.030053,0.738897,0.000002
101,1,-1,0,0.724493,0.024699,0.250806,0.000001
105,2,-1,2,0.377663,0.036557,0.585778,0.000003
105,3,-1,2,0.055678,0.037570,0.906659,0.000093
105,4,-1,2,0.090318,0.164532,0.744922,0.000227
105,5,-1,0,0.945984,0.020428,0.033587,0.000001
105,6,-1,0,0.948574,0.024742,0.026683,0.000001
203,7,-1,0,0.952805,0.022005,0.025190,0.000001
203,8,-1,0,0.915067,0.030748,0.054182,0.000003
203,9,-1,0,0.780605,0.052271,0.167095,0.000029
203,10,-1,0,0.834250,0.048641,0.117082,0.000026
208,11,-1,0,0.920753,0.040400,0.038840,0.000006
208,12,-1,0,0.957407,0.030418,0.012173,0.000001
214,13,-1,0,0.968792,0.016417,0.014791,0.000000
214,14,-1,2,0.239825,0.040789,0.719356,0.000031
