=== none / inter / seed42
Epoch 001 | train_loss=0.3653 | train_acc=0.9343 | valid_loss=0.2879 | valid_acc=0.9276 | valid_macro_f1=0.6312 | lr=0.001000
Epoch 002 | train_loss=0.2127 | train_acc=0.9764 | valid_loss=0.3180 | valid_acc=0.9097 | valid_macro_f1=0.6081 | lr=0.001000
Epoch 003 | train_loss=0.1983 | train_acc=0.9787 | valid_loss=0.3032 | valid_acc=0.9225 | valid_macro_f1=0.6267 | lr=0.001000
Epoch 004 | train_loss=0.1864 | train_acc=0.9828 | valid_loss=0.3283 | valid_acc=0.9044 | valid_macro_f1=0.5931 | lr=0.000500
Epoch 005 | train_loss=0.1758 | train_acc=0.9871 | valid_loss=0.3165 | valid_acc=0.9097 | valid_macro_f1=0.6004 | lr=0.000500
Epoch 006 | train_loss=0.1710 | train_acc=0.9886 | valid_loss=0.3078 | valid_acc=0.9176 | valid_macro_f1=0.6112 | lr=0.000500
Epoch 007 | train_loss=0.1674 | train_acc=0.9894 | valid_loss=0.3191 | valid_acc=0.9136 | valid_macro_f1=0.6116 | lr=0.000250
Epoch 008 | train_loss=0.1651 | train_acc=0.9903 | valid_loss=0.3179 | valid_acc=0.9114 | valid_macro_f1=0.6049 | lr=0.000250
Epoch 009 | train_loss=0.1634 | train_acc=0.9906 | valid_loss=0.2976 | valid_acc=0.9192 | valid_macro_f1=0.6160 | lr=0.000250
Epoch 010 | train_loss=0.1626 | train_acc=0.9909 | valid_loss=0.3318 | valid_acc=0.9072 | valid_macro_f1=0.6029 | lr=0.000125
Epoch 011 | train_loss=0.1607 | train_acc=0.9913 | valid_loss=0.3641 | valid_acc=0.8779 | valid_macro_f1=0.5610 | lr=0.000125
Epoch 012 | train_loss=0.1597 | train_acc=0.9914 | valid_loss=0.3156 | valid_acc=0.9086 | valid_macro_f1=0.6026 | lr=0.000125
Epoch 013 | train_loss=0.1587 | train_acc=0.9920 | valid_loss=0.3594 | valid_acc=0.8784 | valid_macro_f1=0.5612 | lr=0.000063
Epoch 014 | train_loss=0.1578 | train_acc=0.9922 | valid_loss=0.3227 | valid_acc=0.9061 | valid_macro_f1=0.5996 | lr=0.000063
Epoch 015 | train_loss=0.1579 | train_acc=0.9922 | valid_loss=0.3411 | valid_acc=0.8914 | valid_macro_f1=0.5781 | lr=0.000063
Epoch 016 | train_loss=0.1574 | train_acc=0.9926 | valid_loss=0.3314 | valid_acc=0.8979 | valid_macro_f1=0.5875 | lr=0.000031
Early stopping triggered at epoch 16.
Training complete | run=inter-none-lossweight0-seed42 | best_epoch=1 | best_valid_macro_f1=0.6312 | test_accuracy=0.9333 | test_macro_f1=0.4443 | final_epoch=16 | final_test_macro_f1=0.4130
=== none / inter / seed43
