record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.909511,0.052649,0.037831,0.000009
101,1,-1,0,0.940044,0.027065,0.032876,0.000015
105,2,-1,0,0.636105,0.047932,0.315948,0.000015
105,3,-1,0,0.555614,0.138550,0.304528,0.001308
105,4,-1,2,0.016682,0.015597,0.967643,0.000078
105,5,-1,0,0.691522,0.088217,0.220079,0.000182
105,6,-1,2,0.430625,0.093244,0.475915,0.000216
203,7,-1,0,0.769133,0.043304,0.187506,0.000056
203,8,-1,0,0.941792,0.022142,0.036036,0.000030
203,9,-1,0,0.915483,0.029146,0.055295,0.000075
203,10,-1,0,0.845360,0.040906,0.113516,0.000218
208,11,-1,2,0.084582,0.036862,0.878442,0.000114
208,12,-1,0,0.971305,0.017037,0.011658,0.000000
214,13,-1,0,0.951374,0.026667,0.021947,0.000012
214,14,-1,2,0.033854,0.018682,0.947377,0.000087
