record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.519180,0.043048,0.372309,0.065463
101,1,-1,0,0.966445,0.010784,0.012133,0.010638
105,2,-1,0,0.954651,0.009687,0.025468,0.010194
105,3,-1,0,0.953160,0.017443,0.016888,0.012509
105,4,-1,0,0.640207,0.079872,0.243561,0.036360
105,5,-1,0,0.962989,0.012232,0.013977,0.010801
105,6,-1,0,0.758758,0.010813,0.210036,0.020394
203,7,-1,0,0.874217,0.051190,0.052279,0.022314
203,8,-1,0,0.965087,0.013090,0.011053,0.010770
203,9,-1,0,0.962133,0.014564,0.011958,0.011345
203,10,-1,0,0.945888,0.019165,0.019543,0.015404
208,11,-1,2,0.061406,0.018888,0.895553,0.024154
208,12,-1,0,0.997652,0.000402,0.000797,0.001148
214,13,-1,0,0.970544,0.010329,0.009720,0.009407
214,14,-1,2,0.198501,0.011766,0.763318,0.026415
