record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.274512,0.045978,0.650966,0.028544
101,1,-1,0,0.620719,0.050663,0.280654,0.047964
105,2,-1,0,0.734609,0.043616,0.193975,0.027799
105,3,-1,2,0.023099,0.015863,0.945109,0.015930
105,4,-1,2,0.170383,0.051216,0.745812,0.032589
105,5,-1,0,0.981020,0.007990,0.006645,0.004345
105,6,-1,2,0.031987,0.017196,0.926204,0.024613
203,7,-1,3,0.313646,0.079755,0.265742,0.340856
203,8,-1,2,0.409263,0.045504,0.452188,0.093045
203,9,-1,2,0.170838,0.070248,0.686325,0.072590
203,10,-1,2,0.146360,0.095018,0.609717,0.148905
208,11,-1,2,0.118548,0.122245,0.710687,0.048521
208,12,-1,0,0.972627,0.013546,0.006261,0.007565
214,13,-1,0,0.868885,0.041749,0.062151,0.027216
214,14,-1,2,0.047541,0.041482,0.532206,0.378772
