record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.587745,0.279661,0.074304,0.058290
101,1,-1,0,0.801946,0.088491,0.071615,0.037949
105,2,-1,0,0.963261,0.011770,0.013854,0.011115
105,3,-1,2,0.319592,0.041304,0.600653,0.038451
105,4,-1,0,0.923461,0.024723,0.033580,0.018236
105,5,-1,0,0.963420,0.011861,0.013201,0.011518
105,6,-1,0,0.959780,0.014244,0.013550,0.012427
203,7,-1,0,0.941876,0.016883,0.025169,0.016072
203,8,-1,0,0.925748,0.020778,0.034306,0.019168
203,9,-1,0,0.459310,0.024483,0.448785,0.067422
203,10,-1,0,0.581834,0.026639,0.313312,0.078216
208,11,-1,2,0.250015,0.040936,0.658025,0.051024
208,12,-1,0,0.958321,0.014638,0.012280,0.014761
214,13,-1,0,0.960691,0.012945,0.013056,0.013308
214,14,-1,2,0.029121,0.015028,0.929977,0.025875
