record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.028165,0.011663,0.960168,0.000004
101,1,-1,2,0.068580,0.013956,0.917437,0.000026
105,2,-1,0,0.521793,0.036514,0.441658,0.000035
105,3,-1,2,0.081943,0.054812,0.862680,0.000564
105,4,-1,2,0.041550,0.097924,0.860160,0.000367
105,5,-1,0,0.835662,0.030317,0.133946,0.000075
105,6,-1,0,0.872586,0.019963,0.107405,0.000046
203,7,-1,0,0.886556,0.032832,0.080573,0.000039
203,8,-1,0,0.890062,0.026575,0.083325,0.000038
203,9,-1,0,0.789212,0.039770,0.170846,0.000172
203,10,-1,0,0.715329,0.062264,0.222032,0.000374
208,11,-1,0,0.637496,0.083623,0.278567,0.000314
208,12,-1,0,0.939683,0.033152,0.027164,0.000002
214,13,-1,0,0.892741,0.031169,0.076034,0.000057
214,14,-1,2,0.052882,0.021977,0.925016,0.000125
