record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,2,0.084776,0.113527,0.530075,0.271622
101,1,-1,2,0.107169,0.042036,0.719270,0.131525
105,2,-1,2,0.039013,0.062383,0.884394,0.014210
105,3,-1,2,0.025851,0.020896,0.941886,0.011367
105,4,-1,2,0.047799,0.127285,0.803675,0.021241
105,5,-1,2,0.094539,0.096380,0.789543,0.019538
105,6,-1,2,0.140237,0.389368,0.440426,0.029970
203,7,-1,2,0.018006,0.079204,0.751773,0.151017
203,8,-1,2,0.218958,0.071284,0.542626,0.167132
203,9,-1,2,0.241546,0.035571,0.492314,0.230568
203,10,-1,2,0.165645,0.040306,0.456180,0.337869
208,11,-1,2,0.138745,0.268892,0.537233,0.055130
208,12,-1,1,0.096121,0.417370,0.291025,0.195485
214,13,-1,3,0.166891,0.037219,0.337703,0.458187
214,14,-1,2,0.051426,0.018306,0.803468,0.126800
