record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.807142,0.046708,0.087308,0.058841
101,1,-1,0,0.641106,0.047709,0.216139,0.095046
105,2,-1,0,0.947019,0.015986,0.025615,0.011379
105,3,-1,0,0.886443,0.023603,0.075794,0.014160
105,4,-1,1,0.334633,0.538645,0.104256,0.022466
105,5,-1,0,0.966527,0.012762,0.012002,0.008709
105,6,-1,0,0.928151,0.024411,0.028696,0.018742
203,7,-1,0,0.896578,0.022406,0.064325,0.016691
203,8,-1,0,0.620453,0.040471,0.302821,0.036255
203,9,-1,0,0.856281,0.028319,0.078414,0.036986
203,10,-1,0,0.736644,0.037566,0.153826,0.071965
208,11,-1,0,0.928229,0.031261,0.021318,0.019193
208,12,-1,0,0.987468,0.003893,0.003758,0.004881
214,13,-1,0,0.960679,0.014206,0.012660,0.012455
214,14,-1,0,0.503519,0.041438,0.406475,0.048568
