record_id,beat_index,y_true,y_pred,p_N,p_S,p_V,p_F
101,0,-1,0,0.718744,0.030892,0.198976,0.051389
101,1,-1,0,0.741389,0.032107,0.144788,0.081716
105,2,-1,0,0.928160,0.018411,0.033146,0.020283
105,3,-1,2,0.085549,0.085872,0.788260,0.040319
105,4,-1,0,0.486264,0.100807,0.360760,0.052169
105,5,-1,0,0.907310,0.023879,0.045014,0.023796
105,6,-1,0,0.611785,0.046790,0.259384,0.082042
203,7,-1,0,0.831751,0.030887,0.100196,0.037166
203,8,-1,0,0.828579,0.032480,0.112192,0.026749
203,9,-1,0,0.745115,0.040765,0.187175,0.026945
203,10,-1,0,0.716771,0.045173,0.213041,0.025015
208,11,-1,0,0.835469,0.061577,0.061339,0.041615
208,12,-1,0,0.902227,0.027547,0.046817,0.023409
214,13,-1,0,0.793618,0.098021,0.071397,0.036964
214,14,-1,2,0.048589,0.030040,0.898029,0.023342
